title,description
Artevani Qisi Qvevri 2018," Artevani Qisi Qvevri 2018 Artevani Qisi Qvevri is a very aromatic wine with notes of dried peach, pines, dried flowers, and flavours of black tea, pear. It is full-bodied with a grip and firm tannins. Don't be fooled by the cocktail of gentle aromas, be prepared to be surprised by the powerful punch and strong tannins. An excellent companion to pork shoulder and peach chutney. Also pairs well with shellfish, spicy dishes and poultry.    Harvested grapes for processing are delivered in a special room ""Marani""(winery). The grapes are crushed by foot, it is the most gentle method for producing mash, because the bones are not damaged, so when it being crushed it stays attached and gives the wine a strong bitterness. he resulting mass is transported into a large ceramic jug - Kvevri, aka clay pots. The pots are buried in the ground and only the opening is at floor level. Dipping into the ground, Kvevri allows to achieve a relatively constant temperature (about 14 C) during fermentation of wort, as well as during storage. Fermentation is performed on pulp until it is finished, usually, it takes 7-8 days. The grape juice fermented on pulp gives the wine a pleasant astringency, which is characteristic for Georgian wines. Wine material wanders there 3 or 4 months with the skin, seeds and twigs.    We think you'll also love this other Georgian wine.13% "
Casanova di Neri Rosso di Montalcino 2019," Casanova di Neri Rosso di Montalcino 2019 Casanova di Neri Rosso di Montalcino has a strong identity and is ready for immediate enjoyment. Lively and bright red colour in the glass. Red and black cherries, raspberries and a hint of violets fill the nose. The medium-bodied palate is rich and elegant, with a thick tannic texture and a persistent taste.  Ageing potential: Enjoy now or keep for 10–15 years from vintage.  100% Sangiovese from dedicated Casanova di Neri vineyards in Montalcino, Italy. the fruit for this wine receives the same attention and care intended for the production of Brunello. Manual bunch selection before destemming and a second selection via an optical selector. Spontaneous fermentation without additional yeasts, then maceration facilitated by frequent pressing in conical steel vats at a controlled temperature for 18 days. Ages for 12 months in wood.   AWARDS & ACCOLADES   - 90 POINTS ""Sensual and intriguing in the main matrix, it gives notes of linden, camphor, elderberry and passion flower. Medium body, round tannins and a warm and enveloping finish. Drink now.""     "
Spier 21 Gables Pinotage 2018," Spier 21 Gables Pinotage Spier 21 Gables Pinotage is named in honour of the Spier farm's 21 architecturally significant gables – the most on any wine farm in South Africa and all meticulously restored.Deep ruby red colour. Beautifully balanced and intensely complex. Concentrated flavours of caramelised black cherries, dark plums, dark chocolate, and hints of tobacco and oak spice. The full palate is smooth, with a fresh acidity and firm but velvety tannins. Enjoy it at any point, but know that it is only going to get even better over time.  100% Pinotage. The grapes come from Spier's Dryland vineyards, overlooking False Bay on the Southern side of Stellenbosch. The decomposed granite soils assist with water retention as it contains a high proportion of clay. After hand harvesting, the grapes go through chilling, then bunch sorting and destemming. Partial natural fermentation in stainless steel; the balance was inoculated with a particular yeast strain.  Free-run wine was drained to a combination of first and second fill French, American and Hungarian oak barrels where it matured for 20 months. Check out the other delicious Pinotages we have here.14.61%AWARDS & ACCOLADES - 91 POINTS Big, bold, dense and concentrated, especially for a Pinotage, this sees a combination of first and second fill French, American and Hungarian oak and is pretty smoky and toasty at the moment. Give it time, though, because there's also plenty of dark berry and bramble fruit and tannic backbone. 2021-2026. "
Gabriëlskloof Estate The Blend 2019," Gabrielskloof Estate The Blend Can't get enough of this plushness. Treat yourself to a glass of this rich and luxurious Bordeaux-style blend before wandering off to dreamland. Plush and perfumed nose with lifted aromas of blackcurrant, red cherry and dried peach. Sumptuous dark fruits on the palate with hints of anise, black pepper and dark chocolate. Firm, fine tannins give way to a fresh but lingering finish.    The Blend is part of the Gabriëlskloof Estate range of wines. The range offers a selection of boutique style wines that always over-deliver on quality and value. Botrivier's Mediterranean climate results in long growing seasons with moderate to warm temperatures. Conditions leading up to the harvest were hot and dry for the second consecutive year, leading to smaller berries and highly concentrated flavours.          A Bordeaux-style blend composed of 60% Cab Sauv, 15% Cab Franc, 15% Petit Verdot and 10% Malbec. The fruit was hand-picked and whole bunch pressed. Fermentation and ageing took place in barrel and tank, with maturation occurring over 12 months in second- and third-fill barrels.                               15% AWARDS & ACCOLADES  - 90 POINTS "
Sibiliana Roceno Inzolia Bianco 2019," Sibiliana Roceno Inzolia Bianco 2019Sibiliana Roceno Inzolia Bianco has a straw yellow colour with strong greenish reflections, with intense and enveloping aromas of white berry fruit and slight herbaceous and mineral hints. The moderate freshness and the hinted sapidity give this wine a good balance.The grapes after being harvested by hand, are quickly brought to the cellar, gently pressed at maximum pressure, and immediately refrigerated at 16°C. The high quality is obtained with fermentation with selected yeasts at a temperature of 16°-18°C for 15-18 days. Aged in stainless steel tanks at a controlled temperature.Inzolia (or Ansonica) is an Italian grape variety grown in both Sicily and Tuscany. While it is most famous traditionally as an ingredient in the fortified Marsala wines, it is now seen more and more as a crisp, dry white wine, in blends and as a single variety. Inzolia wines are moderately aromatic and tend to display nutty, citrusy characters with herbal notes.The grape has a long and complicated history. It is thought to have originated on the island of Sicily, and is related to other Sicilian natives like Grillo and Nerello Mascalese, but other sources have argued that Inzolia is related to the Roditis and Sideritis grape varieties of Greece.12%Give other Terre Sicilliane IGP wines a try.   "
The Vinden Headcase Shiraz Nouveau 2021," The Vinden Headcase Shiraz Nouveau 2021 The Vinden Headcase Shiraz Nouveau was inspired by a trip to Beaujolais. A light, crispy and perfumed style of Shiraz. Fresh black fruit, hints of violets and smokey earth elements fill the nose. The medium-bodied and dry palate has well-integrated tannins and a crisp acidity that will have you vying for the next sip. Black plum, ripe blackberry and cherry flavours mingle with a dusty earthy minerality and caramel baking spice nuances. Enjoy it now or serve it chilled on a hot summers day. Cheers! 100% Shiraz. The fruit comes from their Vinden Vineyard planted in 1995 over red clay soil, Somerset Vineyard planted in the 1960s over red clay soil, and Tawarri Vineyard in the Upper Hunter Valley.  10% whole bunch, 90% whole berry in open concrete fermenters. Hand plunging, basket pressing and ageing for 4 months in neutral French oak barrels. Young Angus Vinden is the owner/winemaker of this much-loved Hunter Valley winery. Having taken the reins from his father just a few years ago, Gus is reimagining his family's wine label with a string of exciting, modern wines coming out of his cellar.  Ageing potential: Drink until 2023. "
Pirramimma White Label Petit Verdot 2017," Pirramimma White Label Petit Verdot 2017        This delightful Pirramimma White Label Petit Verdot from features a dark crimson colour. The fragrant bouquet gives off lifted scents of boysenberry, Kirsch cherry, violets and cedary oak. The lush palate contains juicy flavours of Santa Rosa plum, tangy morello cherry, spicy blackberry and musk, coupled with a gentle touch of Kalamata olive and blueberry. Fine tannins and subtle oak characters drive the rich palate to a long and persistent finale.        Pirramimma vineyards and winery are nestled behind the township of McLaren Vale, running parallel to Tatachilla Road. The mature vineyards are planted to 13 varieties and 40 designated blocks, spread over 300 acres and allow them to produce over 80 different wines, from the iconic McLaren Vale Shiraz, pioneered varieties such as Petit Verdot and Tannat, and an ancient collection of fortifieds.       McLaren Vale terroir was selected for its topography-hillside location, our site features fine red loam over limestone and ironstone, together with exceptional drainage. The cooling sea breezes delivered from the Gulf of St Vincent, combined with diverse micro-climates and soil types have ensured an ideal environment for viticulture.             Pirramimma is also truly unique with pioneering plantings of Petit Verdot and Tannat, deliberately chosen as late ripening varietals that can withstand the challenges of a warming climate. The fortified cellars are also some of the most prevalent in the southern hemisphere.The grapes were carefully harvested and yeasted were added for fermentation before the grapes are pressed and aged in new and old French & American oak for over 2 years. The wine is then blended and bottled aged.                  Interested in other wines from the same terroir?            14.5% "
Felton Road Bannockburn Riesling 2018," Felton Road Bannockburn Riesling 2018 Opulent, beautifully crafted organic Chardonnay from one of Central Otago’s benchmark producers. Felton Road Bannockburn Riesling has a ripe melon and nectarine aroma with underlying citrus notes on the nose. The intense aromatics are echoed in the mouth with the addition of spring blossom. The initial wave of residual sugar on the luscious palate is quickly tempered by the bright acidity. It’s a knife-edge balance that’s so critical to give the wine such poise presence. Fine, detailed and zingy. Counter to many of the other producers in Central Otago, Felton Road crafts their Riesling in a dry and coiled style. If you are looking for a fine dry Riesling that will drink well now as well as mature in the cellar, this is a great option.   9% Explore Riesling from other parts of the world.  AWARDS & ACCOLADES    - 91 Points  "
Cannonball Sonoma County Chardonnay 2020," Cannonball Sonoma County Chardonnay 2020 Easy like Sunday morning.Light on the nose and crisp on the palate, this is a simple, enjoyable white wine, smooth and easygoing.This bottle of Cannonball Chardonnay provides a delicate entry. It has a light and floral aroma with peach flavour that transitions to apricot, pineapple and tangy nectarine. The acidity is bright and the structure is light to medium weight with fresh mineral acidity.The sourcing takes us to Coastal California counties from Mendocino to Sonoma to Monterey. Fog currents and wind, warm sunshine and adequate rainfall characterize each of these regions and draw us to them for their fine suitability for growing luscious Chardonnay grapes. Grapes are harvested in the morning hours to ensure that their flavors remain true and unaffected by the heat of the day. Grapes are then sent directly to a pneumatic press to liberate the juice from the berries and fermentation takes place both in oak and in stainless steel tanks. Aa variety of yeast strains are used, each selected to enhance the character of a specific vineyard site. Post-fermentation, stirring of the lees helps to build mid-palate structure and add delicate creamy buttery notes to the wine. In total this wine sees 9 months of cellaring. 70% of the blend is French oak fermented while the remaining 30% has been fermented and aged exclusively in stainless cooperage. French oak is selected for this wine as we find its elegant structure is best-suited to enhance the wine's fruit, palate structure, and subtlety.13.5%Explore Chardonnay from other parts of the world AWARDS & ACCOLADES  - 90 PTS - 88 PTSButterscotch and caramelized apple on the nose and palate. Pleasant, easy-drinking Chardonnay. Not highly expressive but enjoyable. Pair with roast chicken."" - 85 PTS "
W. & J. Graham's Six Grapes Reserve ‘River Quintas’ NV," Graham’s Six Grapes Reserve ‘River Quintas’ NV       Six Grapes Special ‘River Quintas’ Edition pays homage to the original Six Grapes label, Graham's signature Reserve blend.Deep bluish-purple colour, as opaque as a young Vintage Port. Aromas of blackberry and cassis with hints of mint and eucalyptus, ending on a note of tar and spice. The concentrated palate features dark plum and ripe cherry, liquorice and chocolate flavours. Balanced by a wonderful fresh acidity and a persistent, taut finish.Delightful at the end of a meal. Especially if served with rich, nutty or chocolate desserts, or a variety of cheeses. Or you can enjoy it on its own: it is a dessert in itself!Two classic riverside vineyard sites were chosen for this special blend: Quinta do Tua and Quinta dos Malvedos. The over 50-year-old mixed varietal plantings from Quinta do Tua, typically picked early in the harvest, consistently produce outstanding results, with minimal average yields of 0.65 kg of grapes per vine. Graham’s flagship Quinta dos Malvedos produces extraordinarily concentrated Touriga Franca grapes picked towards the end of the harvest. These 32-year-old vines benefit from a very favourable south/south-west aspect, where the plentiful exposure to the Douro sun is well-suited for late-ripening Touriga Franca.     The blend of Six Grapes Special ‘River Quintas’ Edition is made up of approximately one third each of Quinta do Tua’s 2014 and 2015 vintages, and one third from the Malvedos Touriga Franca ‘Vinha dos Barcos’ vineyard made in 2015. The wines were all vinified in the lagares at the Malvedos winery. The three components are married together to produce a charming and complex wine.                      20%AWARDS & ACCOLADES           Bold, with exuberant blueberry and açai berry paste flavors leading the way, backed by blackberry cobbler, chocolate and melted licorice notes. Flirts with the heady side but a bolt of graphite through the finish keeps this racy. A solid, gutsy drink now, or you could tame this with a bit of cellaring. Drink now through 2027. 1,000 cases made.     - 92 POINTS    This is the latest in a series of special releases under the Six Grapes label. It comes from Graham's south-facing vineyards on the Douro north bank. The wine is of vintage Port quality—rich, but with some fine tannins. The jammy red fruits are lifted by acidity and by the fine perfumed character. Drink the wine now.    - 90 POINTS     The NV Six Grapes Reserve Port (Special River Quintas Edition) is a special release (bottled in November). It is a blend of just two vintages (2014 and 2015) from three specific parcels closer to the river. This is lovely, only moderately concentrated, but fresh and lively, with fine flavors lingering on the finish. I'd like to see a version of this from two bigger vintages, but it shows well and is fresh, easy and ready on release. It comes with a bar-top cork. It can hold a while, but it isn't meant to be held, and it doesn't need much air or aging. There were 500 cases produced.       "
